theme_term,synonym,theme_name,context,Framework
stewardship,efficiency,input reduction,the phosphate industry 4r nutrient stewardship for improved nutrient use efficiency,4RNS-INUE.pdf
efficiency,stewardship,synergy,stewardship for improved nutrient use efficiency a m johnstona and t,4RNS-INUE.pdf
practices,practices,connectivity,to guide fertilizer best management practices bmp in all regions of,4RNS-INUE.pdf
practices,practices,input reduction,to guide fertilizer best management practices bmp in all regions of,4RNS-INUE.pdf
prices,prices,connectivity,farmers purchase fertilizers at world prices in most regions and these,4RNS-INUE.pdf
prices,prices,connectivity,in most regions and these prices have been steadily incr easing,4RNS-INUE.pdf
conditions,economic,economic diversification,between the crop needs environmental conditions and the fa rmers economic,4RNS-INUE.pdf
economic,conditions,connectivity,conditions and the fa rmers economic situation is required right time,4RNS-INUE.pdf
just,just,connectivity,technology stabilizers and inhibitors are just a few examples of how,4RNS-INUE.pdf
just,just,fairness,technology stabilizers and inhibitors are just a few examples of how,4RNS-INUE.pdf
efficient,organic,recycling,on a sufficient supply and efficient use of mineral and organic,4RNS-INUE.pdf
organic,efficient,input reduction,efficient use of mineral and organic nutrient resources the growing and,4RNS-INUE.pdf
practices,practices,connectivity,more concerned about resource management practices and the environment especially when,4RNS-INUE.pdf
practices,practices,input reduction,more concerned about resource management practices and the environment especially when,4RNS-INUE.pdf
labor,labor,connectivity,farm a global shortage of labor and increasing cost of production,4RNS-INUE.pdf
labor,labor,fairness,farm a global shortage of labor and increasing cost of production,4RNS-INUE.pdf
practices,practices,connectivity,the development of best management practices bmps that can both increase,4RNS-INUE.pdf
practices,practices,input reduction,the development of best management practices bmps that can both increase,4RNS-INUE.pdf
protection,protection,connectivity,profitability while ensuring improved environmental protection soil health and productivity is,4RNS-INUE.pdf
protection,soil health,soil health,profitability while ensuring improved environmental protection soil health and productivity is,4RNS-INUE.pdf
protection,soil health,soil health,profitability while ensuring improved environmental protection soil health and productivity is,4RNS-INUE.pdf
protection,protection,fairness,profitability while ensuring improved environmental protection soil health and productivity is,4RNS-INUE.pdf
soil health,protection,connectivity,while ensuring improved environmental protection soil health and productivity is one of,4RNS-INUE.pdf
soil health,protection,fairness,while ensuring improved environmental protection soil health and productivity is one of,4RNS-INUE.pdf
quality,quality,connectivity,world the linkage between soil quality and food production are clear,4RNS-INUE.pdf
quality,quality,fairness,world the linkage between soil quality and food production are clear,4RNS-INUE.pdf
practices,practices,connectivity,ltimately the profitability of such practices on the farm that will,4RNS-INUE.pdf
practices,practices,input reduction,ltimately the profitability of such practices on the farm that will,4RNS-INUE.pdf
practices,practices,connectivity,in improvin g farm management practices to support food production and,4RNS-INUE.pdf
practices,soil health,soil health,in improvin g farm management practices to support food production and,4RNS-INUE.pdf
practices,soil health,soil health,in improvin g farm management practices to support food production and,4RNS-INUE.pdf
practices,practices,input reduction,in improvin g farm management practices to support food production and,4RNS-INUE.pdf
soil health,practices,connectivity,to support food production and soil health will come from partnership linking,4RNS-INUE.pdf
soil health,practices,input reduction,to support food production and soil health will come from partnership linking,4RNS-INUE.pdf
practices,practices,connectivity,best be described here as practices which have been proven in,4RNS-INUE.pdf
practices,practices,input reduction,best be described here as practices which have been proven in,4RNS-INUE.pdf
efficiency,protection,fairness,optimum produc tion potential input efficiency and environmental protection 1 this,4RNS-INUE.pdf
efficiency,protection,connectivity,optimum produc tion potential input efficiency and environmental protection 1 this,4RNS-INUE.pdf
protection,protection,connectivity,potential input efficiency and environmental protection 1 this definition comes from,4RNS-INUE.pdf
protection,efficiency,input reduction,potential input efficiency and environmental protection 1 this definition comes from,4RNS-INUE.pdf
protection,protection,fairness,potential input efficiency and environmental protection 1 this definition comes from,4RNS-INUE.pdf
protection,efficiency,input reduction,potential input efficiency and environmental protection 1 this definition comes from,4RNS-INUE.pdf
economic,social,social values and diets,managed to ensure alignment with economic social and environmental goals the,4RNS-INUE.pdf
social,economic,economic diversification,to ensure alignment with economic social and environmental goals the objectives,4RNS-INUE.pdf
practices,practices,connectivity,on the success of such practices and need to be considered,4RNS-INUE.pdf
practices,practices,input reduction,on the success of such practices and need to be considered,4RNS-INUE.pdf
economic,efficient,input reduction,framework that can result in economic and efficient adoption of practices,4RNS-INUE.pdf
economic,practices,input reduction,framework that can result in economic and efficient adoption of practices,4RNS-INUE.pdf
economic,practices,connectivity,framework that can result in economic and efficient adoption of practices,4RNS-INUE.pdf
efficient,practices,input reduction,can result in economic and efficient adoption of practices 4 it,4RNS-INUE.pdf
efficient,practices,connectivity,can result in economic and efficient adoption of practices 4 it,4RNS-INUE.pdf
efficient,economic,economic diversification,can result in economic and efficient adoption of practices 4 it,4RNS-INUE.pdf
practices,practices,connectivity,economic and efficient adoption of practices 4 it is important to,4RNS-INUE.pdf
practices,efficient,input reduction,economic and efficient adoption of practices 4 it is important to,4RNS-INUE.pdf
practices,economic,economic diversification,economic and efficient adoption of practices 4 it is important to,4RNS-INUE.pdf
practices,practices,input reduction,economic and efficient adoption of practices 4 it is important to,4RNS-INUE.pdf
practices,efficient,input reduction,economic and efficient adoption of practices 4 it is important to,4RNS-INUE.pdf
practices,economic,economic diversification,economic and efficient adoption of practices 4 it is important to,4RNS-INUE.pdf
economic,social,social values and diets,as tho se producing the economic social and environmental outcomes desired,4RNS-INUE.pdf
social,economic,economic diversification,tho se producing the economic social and environmental outcomes desired by,4RNS-INUE.pdf
knowledge,knowledge,connectivity,there are gaps in the knowledge of the fundamental processes and,4RNS-INUE.pdf
knowledge,knowledge,co-creation of knowledge,there are gaps in the knowledge of the fundamental processes and,4RNS-INUE.pdf
knowledge,knowledge,connectivity,to acknowledge gaps in scientific knowledge and limitations to our application,4RNS-INUE.pdf
knowledge,knowledge,co-creation of knowledge,to acknowledge gaps in scientific knowledge and limitations to our application,4RNS-INUE.pdf
knowledge,knowledge,connectivity,to our application of such knowledge thus the need still arises,4RNS-INUE.pdf
knowledge,knowledge,co-creation of knowledge,to our application of such knowledge thus the need still arises,4RNS-INUE.pdf
quality,quality,connectivity,des the increase in yield quality a nd profit resulting from,4RNS-INUE.pdf
quality,quality,fairness,des the increase in yield quality a nd profit resulting from,4RNS-INUE.pdf
social,conditions,connectivity,on the regional economy and social conditions for example affordable food,4RNS-INUE.pdf
conditions,social,social values and diets,the regional economy and social conditions for example affordable food not,4RNS-INUE.pdf
practices,practices,connectivity,on sound management of all practices applied to the cropping system,4RNS-INUE.pdf
practices,practices,input reduction,on sound management of all practices applied to the cropping system,4RNS-INUE.pdf
stewardship,working,connectivity,by all in 4r nutrient stewardship individuals working on the parts,4RNS-INUE.pdf
working,stewardship,synergy,in 4r nutrient stewardship individuals working on the parts remain cognizant,4RNS-INUE.pdf
practices,practices,connectivity,a certain outcome for example practices to improve water quality are,4RNS-INUE.pdf
practices,water,recycling,a certain outcome for example practices to improve water quality are,4RNS-INUE.pdf
practices,quality,fairness,a certain outcome for example practices to improve water quality are,4RNS-INUE.pdf
practices,quality,connectivity,a certain outcome for example practices to improve water quality are,4RNS-INUE.pdf
practices,water,recycling,a certain outcome for example practices to improve water quality are,4RNS-INUE.pdf
practices,quality,fairness,a certain outcome for example practices to improve water quality are,4RNS-INUE.pdf
practices,quality,connectivity,a certain outcome for example practices to improve water quality are,4RNS-INUE.pdf
practices,practices,input reduction,a certain outcome for example practices to improve water quality are,4RNS-INUE.pdf
water,quality,fairness,for example practices to improve water quality are informed of t,4RNS-INUE.pdf
water,quality,connectivity,for example practices to improve water quality are informed of t,4RNS-INUE.pdf
water,practices,connectivity,for example practices to improve water quality are informed of t,4RNS-INUE.pdf
